tree,coral,origin,culture,treatment,day,brightness
13,1,sub,sub,subsub,1,53.56
13,1,sub,sub,subsub,2,48.24112184
13,1,sub,sub,subsub,3,60.21845094
13,1,sub,sub,subsub,4,61.6759381
13,1,sub,sub,subsub,5,90.31182064
13,2,sub,sub,subsub,1,69.45596523
13,2,sub,sub,subsub,2,64.92394213
13,2,sub,sub,subsub,3,111.6923012
13,2,sub,sub,subsub,4,75.92146777
13,2,sub,sub,subsub,5,80.24160491
13,3,sub,sub,subsub,1,64.5077731
13,3,sub,sub,subsub,2,57.15587506
13,3,sub,sub,subsub,3,88.80836463
13,3,sub,sub,subsub,4,76.16144532
13,3,sub,sub,subsub,5,88.62612321
13,4,sub,sub,subsub,1,48.06689879
13,4,sub,sub,subsub,2,58.7216272
13,4,sub,sub,subsub,3,65.74734668
13,4,sub,sub,subsub,4,59.95528526
13,4,sub,sub,subsub,5,88.07657388
13,5,sub,sub,subsub,1,39.53080584
13,5,sub,sub,subsub,2,46.23056355
13,5,sub,sub,subsub,3,65.86044998
13,5,sub,sub,subsub,4,57.32804325
13,5,sub,sub,subsub,5,83.57579562
13,6,sub,sub,subsub,1,45.27872459
13,6,sub,sub,subsub,2,52.18298689
13,6,sub,sub,subsub,3,59.24450679
13,6,sub,sub,subsub,4,55.80828612
13,6,sub,sub,subsub,5,55.40723342
13,7,sub,sub,subsub,1,88.474139
13,7,sub,sub,subsub,2,106.2406078
13,7,sub,sub,subsub,3,103.5126844
13,7,sub,sub,subsub,4,100.5124279
13,7,sub,sub,subsub,5,87.73621489
13,8,sub,sub,subsub,1,68.55489768
13,8,sub,sub,subsub,2,61.50952012
13,8,sub,sub,subsub,3,77.12328458
13,8,sub,sub,subsub,4,89.75035234
13,8,sub,sub,subsub,5,76.39500205
14,1,int,sub,intsub,1,134.1217682
14,1,int,sub,intsub,2,125.5757691
14,1,int,sub,intsub,3,135.2611025
14,1,int,sub,intsub,4,119.818064
14,1,int,sub,intsub,5,125.6072602
14,2,int,sub,intsub,1,117.1465203
14,2,int,sub,intsub,2,158.9956339
14,2,int,sub,intsub,3,197.7081416
14,2,int,sub,intsub,4,122.7592486
14,2,int,sub,intsub,5,230.468026
14,3,int,sub,intsub,1,90.49322582
14,3,int,sub,intsub,2,122.5198804
14,3,int,sub,intsub,3,101.9575028
14,3,int,sub,intsub,4,136.01047
14,3,int,sub,intsub,5,124.7683314
14,4,int,sub,intsub,1,105.0859734
14,4,int,sub,intsub,2,96.96624628
14,4,int,sub,intsub,3,94.79393558
14,4,int,sub,intsub,4,121.194931
14,4,int,sub,intsub,5,135.5633457
14,5,int,sub,intsub,1,114.2883208
14,5,int,sub,intsub,2,106.6249965
14,5,int,sub,intsub,3,99.56076606
14,5,int,sub,intsub,4,100.8032098
14,5,int,sub,intsub,5,113.3106669
14,6,int,sub,intsub,1,140.4023057
14,6,int,sub,intsub,2,145.1552239
14,6,int,sub,intsub,3,139.917335
14,6,int,sub,intsub,4,120.6695101
14,6,int,sub,intsub,5,175.5186757
14,7,int,sub,intsub,1,87.63560137
14,7,int,sub,intsub,2,82.83395467
14,7,int,sub,intsub,3,91.0802056
14,7,int,sub,intsub,4,159.3833943
14,7,int,sub,intsub,5,115.7705748
14,8,int,sub,intsub,1,87.9720398
14,8,int,sub,intsub,2,87.789281
14,8,int,sub,intsub,3,92.84568605
14,8,int,sub,intsub,4,109.1636539
14,8,int,sub,intsub,5,118.0147743
15,1,sub,sub,subsub,1,39.50462555
15,1,sub,sub,subsub,2,59.04480434
15,1,sub,sub,subsub,3,60.12594827
15,1,sub,sub,subsub,4,61.34278823
15,1,sub,sub,subsub,5,75.7355086
15,2,sub,sub,subsub,1,30.47131174
15,2,sub,sub,subsub,2,88.99009379
15,2,sub,sub,subsub,3,75.87702299
15,2,sub,sub,subsub,4,61.81138615
15,2,sub,sub,subsub,5,71.09602061
15,3,sub,sub,subsub,1,52.23136436
15,3,sub,sub,subsub,2,51.21213772
15,3,sub,sub,subsub,3,50.13457395
15,3,sub,sub,subsub,4,48.61265716
15,3,sub,sub,subsub,5,61.35700856
15,4,sub,sub,subsub,1,58.13245348
15,4,sub,sub,subsub,2,59.26590571
15,4,sub,sub,subsub,3,51.92008521
15,4,sub,sub,subsub,4,49.21084733
15,4,sub,sub,subsub,5,63.9757446
15,5,sub,sub,subsub,1,50.80729632
15,5,sub,sub,subsub,2,43.12651221
15,5,sub,sub,subsub,3,56.85949385
15,5,sub,sub,subsub,4,47.75582348
15,5,sub,sub,subsub,5,47.73225764
15,6,sub,sub,subsub,1,86.3119978
15,6,sub,sub,subsub,2,47.35146354
15,6,sub,sub,subsub,3,57.47334818
15,6,sub,sub,subsub,4,58.48484186
15,6,sub,sub,subsub,5,66.09896394
15,7,sub,sub,subsub,1,44.97373728
15,7,sub,sub,subsub,2,42.45631053
15,7,sub,sub,subsub,3,33.99925259
15,7,sub,sub,subsub,4,47.37531173
15,7,sub,sub,subsub,5,57.50395803
15,8,sub,sub,subsub,1,58.75179344
15,8,sub,sub,subsub,2,61.80052575
15,8,sub,sub,subsub,3,65.96512127
15,8,sub,sub,subsub,4,100.6049052
15,8,sub,sub,subsub,5,85.81140543
16,1,sub,sub,subsub,1,83.79365516
16,1,sub,sub,subsub,2,61.7386694
16,1,sub,sub,subsub,3,114.717147
16,1,sub,sub,subsub,4,88.05297283
16,1,sub,sub,subsub,5,96.51258415
16,2,sub,sub,subsub,1,102.0950649
16,2,sub,sub,subsub,2,85.07966753
16,2,sub,sub,subsub,3,236.640513
16,2,sub,sub,subsub,4,95.50655886
16,2,sub,sub,subsub,5,96.28099746
16,3,sub,sub,subsub,1,81.27055583
16,3,sub,sub,subsub,2,72.33799639
16,3,sub,sub,subsub,3,89.15529189
16,3,sub,sub,subsub,4,112.6319112
16,3,sub,sub,subsub,5,99.13847537
16,4,sub,sub,subsub,1,76.35957482
16,4,sub,sub,subsub,2,81.41446535
16,4,sub,sub,subsub,3,107.1791848
16,4,sub,sub,subsub,4,124.3489403
16,4,sub,sub,subsub,5,105.901312
16,5,sub,sub,subsub,1,NA
16,5,sub,sub,subsub,2,NA
16,5,sub,sub,subsub,3,NA
16,5,sub,sub,subsub,4,NA
16,5,sub,sub,subsub,5,NA
16,6,sub,sub,subsub,1,79.12606548
16,6,sub,sub,subsub,2,95.10458529
16,6,sub,sub,subsub,3,80.98743474
16,6,sub,sub,subsub,4,110.0886696
16,6,sub,sub,subsub,5,67.74627852
16,7,sub,sub,subsub,1,59.71321913
16,7,sub,sub,subsub,2,62.13631412
16,7,sub,sub,subsub,3,83.68797371
16,7,sub,sub,subsub,4,67.43588726
16,7,sub,sub,subsub,5,96.31482679
16,8,sub,sub,subsub,1,57.1490034
16,8,sub,sub,subsub,2,83.91434092
16,8,sub,sub,subsub,3,80.53561257
16,8,sub,sub,subsub,4,70.06756332
16,8,sub,sub,subsub,5,135.3890768
17,1,int,sub,intsub,1,75.95844861
17,1,int,sub,intsub,2,55.28751364
17,1,int,sub,intsub,3,84.30528484
17,1,int,sub,intsub,4,58.94139621
17,1,int,sub,intsub,5,87.64790597
17,2,int,sub,intsub,1,89.37473875
17,2,int,sub,intsub,2,59.33209089
17,2,int,sub,intsub,3,84.35202594
17,2,int,sub,intsub,4,59.22268702
17,2,int,sub,intsub,5,79.16886811
17,3,int,sub,intsub,1,60.96464369
17,3,int,sub,intsub,2,46.67880507
17,3,int,sub,intsub,3,61.25883307
17,3,int,sub,intsub,4,130.9314236
17,3,int,sub,intsub,5,73.00116184
17,4,int,sub,intsub,1,86.14926077
17,4,int,sub,intsub,2,60.74480982
17,4,int,sub,intsub,3,75.54602935
17,4,int,sub,intsub,4,76.43136198
17,4,int,sub,intsub,5,70.49098651
17,5,int,sub,intsub,1,66.51022798
17,5,int,sub,intsub,2,68.40134923
17,5,int,sub,intsub,3,72.0531982
17,5,int,sub,intsub,4,75.70972139
17,5,int,sub,intsub,5,78.35807162
17,6,int,sub,intsub,1,71.00592961
17,6,int,sub,intsub,2,57.66960715
17,6,int,sub,intsub,3,69.14002099
17,6,int,sub,intsub,4,76.2153273
17,6,int,sub,intsub,5,90.99519155
