origin,tree,coral,day,brightness
int,1,1,1,46.193
int,1,2,1,62.99616462
int,1,3,1,60.85254058
int,1,4,1,67.82271606
int,1,5,1,61.31571377
int,1,6,1,65.37986422
int,1,7,1,51.8239469
int,1,8,1,76.23759739
int,1,1,2,41.25038632
int,1,2,2,48.63376455
int,1,3,2,57.16745857
int,1,4,2,50.64399989
int,1,5,2,51.0826713
int,1,6,2,61.70255846
int,1,7,2,51.57083704
int,1,8,2,61.78409749
int,1,1,3,68.29213083
int,1,2,3,63.28939592
int,1,3,3,67.36054322
int,1,4,3,68.35752429
int,1,5,3,53.337787
int,1,6,3,63.77862541
int,1,7,3,57.15254711
int,1,8,3,71.27892285
int,1,1,4,48.95149179
int,1,2,4,49.91264266
int,1,3,4,56.46033373
int,1,4,4,54.78572529
int,1,5,4,42.36579791
int,1,6,4,57.07422912
int,1,7,4,49.90621279
int,1,8,4,64.52443873
int,1,1,5,49.29334804
int,1,2,5,67.06430366
int,1,3,5,63.56301529
int,1,4,5,84.16266504
int,1,5,5,62.77544426
int,1,6,5,91.78273255
int,1,7,5,58.79241767
int,1,8,5,89.84022072
sub,2,1,1,50.491
sub,2,2,1,39.37208807
sub,2,3,1,63.58989499
sub,2,4,1,41.08123954
sub,2,5,1,76.57402897
sub,2,6,1,72.85153109
sub,2,7,1,58.05082041
sub,2,8,1,58.87864703
sub,2,1,2,45.40416333
sub,2,2,2,35.4695286
sub,2,3,2,38.33818077
sub,2,4,2,37.14617915
sub,2,5,2,49.54303916
sub,2,6,2,66.45716297
sub,2,7,2,42.54832774
sub,2,8,2,63.23989901
sub,2,1,3,49.34060504
sub,2,2,3,32.15905399
sub,2,3,3,42.99283098
sub,2,4,3,38.23707719
sub,2,5,3,49.00067149
sub,2,6,3,55.00710079
sub,2,7,3,45.51062765
sub,2,8,3,60.93618093
sub,2,1,4,46.94146289
sub,2,2,4,54.52437366
sub,2,3,4,38.78709003
sub,2,4,4,39.20113119
sub,2,5,4,38.10011736
sub,2,6,4,54.32632504
sub,2,7,4,47.13652724
sub,2,8,4,56.28089313
sub,2,1,5,41.15456681
sub,2,2,5,61.21178431
sub,2,3,5,39.46584637
sub,2,4,5,27.77640443
sub,2,5,5,42.12068643
sub,2,6,5,46.94089782
sub,2,7,5,87.31362436
sub,2,8,5,65.84801533
