tree,treatment,origin,culture,stressed,serie ,c1L0,c1W1,c1W2,c2L0,c2W1,c2W2,c3L0,c3W1,c3W2,c4L0,c4W1,c4W2,c5L0,c5W1,c5W2,c6L0,c6W1,c6W2,c7L0,c7W1,c7W2,c8L0,c8W1,c8W2,c1L1,c1W11,c1W21,c2L1,c2W11,c2W21,c3L1,c3W11,c3W21,c4L1,c4W11,c4W21,c5L1,c5W11,c5W21,c6L1,c6W11,c6W21,c7L1,c7W11,c7W21,c8L1,c8W11,c8W21,c1L3,c1W13,c1W23,c2L3,c2W13,c2W23,c3L3,c3W13,c3W23,c4L3,c4W13,c4W23,c5L3,c5W13,c5W23,c6L3,c6W13,c6W23,c7L3,c7W13,c7W23,c8L3,c8W13,c8W23,c1EV0,c2EV0,c3EV0,c4EV0,c5EV0,c6EV0,c7EV0,c8EV0,c1EV1,c2EV1,c3EV1,c4EV1,c5EV1,c6EV1,c7EV1,c8EV1,c1EV3,c2EV3,c3EV3,c4EV3,c5EV3,c6EV3,c7EV3,c8EV3,c1oct-dec,c2oct-dec,c3oct-dec,c4oct-dec,c5oct-dec,c6oct-dec,c7oct-dec,c8oct-dec,c1dec-mar,c2dec-mar,c3dec-mar,c4dec-mar,c5dec-mar,c6dec-mar,c7dec-mar,c8dec-mar,c1oct-mar,c2oct-mar,c3oct-mar,c4oct-mar,c5oct-mar,c6oct-mar,c7oct-mar,c8oct-mar,
1,intsub,int,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4.4,3.8,4.1,3.5,3.2,4.9,2.8,2.2,5.1,3.9,1.9,4.6,2.8,1.8,4.3,2.3,1.9,4.9,2.3,2.2,3.9,3.4,3.3,NA,NA,NA,NA,NA,NA,5.7,6.4,4.9,NA,NA,NA,5.2,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.77093544,36.13793664,24.05281875,33.68651263,19.11187891,14.89350537,19.48278319,34.37511047,NA,NA,142.9096754,NA,114.7215389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016971053,NA,0.01706855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,subsub,sub,sub,no,original,3.2,3.4,2.5,3.2,3.2,2.6,3.9,2.3,1.6,4.2,3.7,2.6,5.3,4.3,4,4.4,4.1,2.8,5.2,3,1.7,5.2,2.8,3.7,4.5,4.2,4,NA,NA,NA,4.8,2.5,2,4.6,2.4,2.2,6.7,5.1,3.1,5.7,5.4,3.3,5.5,3,2.3,NA,NA,NA,NA,NA,NA,8.2,6.7,6.7,NA,NA,NA,7.2,4.7,4.6,8.9,7.4,5.7,9.2,7.4,6.3,NA,NA,NA,8.1,5.5,5.2,21.87176805,21.13663537,11.64725841,32.73107576,71.69055531,41.13208722,22.55427906,43.13799412,59.41144407,NA,19.08517537,19.11187891,88.45703895,84.71167146,30.33502231,NA,NA,289.1034932,NA,122.2723569,299.8903479,339.046177,NA,182.0884773,0.017531407,NA,0.008663878,-0.009438858,0.003686982,0.012674822,0.005199616,NA,NA,NA,NA,0.020173271,0.013270651,0.015074814,NA,NA,NA,0.017794401,NA,0.008965483,0.009735088,0.014349305,NA,0.009796521,
3,intsub,int,sub,no,original,2.9,1.6,1.5,4.1,4.2,2.8,3.7,3.9,3.5,NA,NA,NA,5.2,4.3,2.9,5.5,5.2,3.6,3.9,2.4,3,3.8,3.1,1.6,3.2,2.8,1.6,4.8,4.7,3.4,4.3,4.3,3.9,NA,NA,NA,NA,NA,NA,6.3,4,2.6,4.4,3.1,3.2,4.4,3.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,4.4,3.5,NA,NA,NA,5.472065354,39.44662276,39.78277317,NA,52.92955303,83.62919644,22.32965518,16.48197316,12.16424675,61.8359682,56.77093544,NA,NA,53.8838118,34.28969842,29.06287364,NA,NA,NA,NA,NA,NA,68.62337913,NA,0.014014823,0.00788661,0.00623843,NA,NA,-0.007711625,0.007525076,0.009950777,NA,NA,NA,NA,NA,NA,0.007541177,NA,NA,NA,NA,NA,NA,NA,0.00758593,NA,
4,subsub,sub,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2.4,3.1,4.2,3.3,2,3.9,2.7,3.4,4.2,2.1,2.5,4.5,2.5,1.6,3.4,1.4,3.7,3.8,2.9,2.5,3.4,1.7,1.7,4.3,4.3,3.1,5.2,4.7,3.9,5,4,3.7,NA,NA,NA,6.7,5.1,4.1,4,2.2,2.5,NA,NA,NA,4.5,4,2.6,NA,NA,NA,NA,NA,NA,NA,NA,24.3522518,23.16492613,28.49404902,17.44997639,14.85286102,17.3639753,21.75709992,7.717322354,46.23403368,75.51446261,58.20782138,NA,111.3474684,17.34944543,NA,38.488437,NA,NA,NA,NA,NA,NA,NA,NA,0.006105637,0.011254142,0.00680309,NA,0.019185363,-7.97269E-06,NA,0.015303718,NA,NA,NA,NA,NA,NA,NA,NA,
5,intsub,int,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,2,1.4,4,3.9,2.8,4,4.7,1.8,4.1,3.7,2.8,4.7,3,2.1,3.7,3,2.7,3.8,4.6,2.9,5.2,3.7,2.7,8.4,5.5,5.5,NA,NA,NA,NA,NA,NA,7.8,4.9,4.8,4.9,3.4,3.2,4.5,2.3,2.8,3.8,2.4,3.6,7.2,4.3,4,NA,NA,NA,NA,NA,NA,NA,NA,10.66806325,35.25652355,33.1830724,34.01264921,24.00314232,23.60376735,41.96971436,41.8208814,199.5696733,NA,NA,144.1013207,41.9096314,22.98173201,26.86061719,97.39094306,NA,NA,NA,NA,NA,NA,NA,NA,0.02789437,NA,NA,0.013750325,0.005307913,-0.000254349,-0.004250353,0.008050833,NA,NA,NA,NA,NA,NA,NA,NA,
6,subsub,sub,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.6,2.2,4.6,3.5,2.7,4.2,2.5,2.4,3.5,2.2,2.4,3.6,3,2.2,3.4,1.9,1.6,4.4,3.3,2.2,3.5,2.9,1.7,5.7,4.6,4.7,5.7,5,4.3,5.7,4.9,3.8,5,4.6,4.1,4.1,3.8,3.3,5.2,3.8,3.3,3.4,3.1,2,5.9,4.2,3.9,NA,NA,NA,NA,NA,NA,NA,NA,15.38123763,34.71931121,19.8002804,14.541647,19.1134497,8.177958376,26.13412389,14.541647,96.79894919,96.79894919,84.71167146,74.30848373,40.58171945,51.46949784,17.3639753,76.00671091,NA,NA,NA,NA,NA,NA,NA,NA,0.017518931,0.009765144,0.013843403,0.015535318,0.007170719,0.017519494,-0.003893754,0.015750523,NA,NA,NA,NA,NA,NA,NA,NA,
7,subsub,sub,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,3.4,2.5,2.1,2.1,1.6,4.4,3.6,2.4,4.2,2.1,2.3,3.4,1.9,1.4,4.4,3.8,2.3,2.6,1.2,1,3.7,2.7,2,5.7,4.3,4.2,5.4,4.9,3.8,3.6,3.5,2.1,6.3,5.5,4.3,5.7,4.4,3.8,NA,NA,NA,5.5,4.3,3.9,4.2,2.5,2.3,NA,NA,NA,NA,NA,NA,NA,NA,25.28923181,5.64485295,31.10176727,15.96557387,7.270038099,32.14713223,2.470862622,16.04823702,80.86164966,80.25316243,22.16707776,118.8016824,75.25449582,NA,72.6139872,19.00035237,NA,NA,NA,NA,NA,NA,NA,NA,0.011070105,0.0252804,-0.003225299,0.019114484,0.02225823,NA,0.032196097,0.001608176,NA,NA,NA,NA,NA,NA,NA,NA,
8,intsub,int,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,2.3,2.5,4.5,3.1,2.7,4.7,3,2.5,5.8,2.7,2.7,5.3,4.2,3.1,4.1,2.1,2.2,5,2.6,2,4.9,3.2,3.1,6.6,6.1,5.6,NA,NA,NA,1.8,0.9,1,NA,NA,NA,1.7,2.1,2.4,6.1,4.4,4.5,6.6,5.1,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.97663513,29.72339349,27.91599597,33.20820514,55.45637527,14.88506234,20.77378142,38.18625505,177.3967051,NA,1.275879316,NA,6.759332944,94.8723675,134.8261611,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019060083,NA,-0.029386326,NA,-0.0200445,0.017639755,0.017812329,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,subsub,sub,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.8,2.5,3.6,2.3,1.9,4.7,3.3,2.4,3.3,2.9,1.8,3.6,2.2,1.6,2.7,3,2.1,3.1,2.9,1.4,2.3,2.2,1.2,4.1,3,3.7,6.1,5.7,5,5.2,3.7,4,4.9,3,3.7,3.2,2.8,2.9,4.9,4,3.9,4.4,3.9,3.2,4.1,3.9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,14.89173823,12.46898124,29.98316394,14.31329248,10.20703453,13.78903921,11.25455933,5.220541592,36.13793664,137.1283595,60.53613424,43.18924135,20.41406906,60.04545674,43.55111356,32.97415649,NA,NA,NA,NA,NA,NA,NA,NA,0.008443206,0.022834984,0.006691471,0.010518122,0.006601402,0.014011694,0.012887257,0.017553552,NA,NA,NA,NA,NA,NA,NA,NA,
10,intsub,int,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.3,1.1,2.6,2.7,2.3,3.5,3,2,4.9,3.8,4.1,3.5,3.4,2.7,3.5,2.6,1.8,3.7,1.8,2.7,3.7,2.2,1.7,6.1,5.1,4.3,3.1,2.1,2.3,NA,NA,NA,6,4.3,4.7,NA,NA,NA,7.1,5.6,5.4,7,5.4,4.8,5.9,4.7,3.2,NA,NA,NA,NA,NA,NA,NA,NA,3.392920066,12.76272016,17.18058482,60.04545674,25.57158245,13.30464489,14.71148935,11.04996311,105.8316171,11.78411404,NA,95.42587685,NA,168.6838905,142.9974436,72.29963158,NA,NA,NA,NA,NA,NA,NA,NA,0.032763413,-0.000759772,NA,0.004411885,NA,0.02418965,0.021659028,0.017889447,NA,NA,NA,NA,NA,NA,NA,NA,
