day,date,Source,temp,time
1,2020-02-10,Subtidal,28.06,day
1,2020-02-10,Subtidal,27.862,day
2,2020-02-10,Subtidal,27.862,night
2,2020-02-10,Subtidal,27.961,night
2,2020-02-10,Subtidal,27.961,night
2,2020-02-10,Subtidal,28.159,night
2,2020-02-10,Subtidal,28.06,night
2,2020-02-10,Subtidal,28.06,night
2,2020-02-10,Subtidal,28.06,night
2,2020-02-10,Subtidal,27.961,night
2,2020-02-10,Subtidal,27.961,night
2,2020-02-10,Subtidal,27.961,night
2,2020-02-10,Subtidal,27.961,night
3,2020-02-11,Subtidal,27.961,day
3,2020-02-11,Subtidal,28.06,day
3,2020-02-11,Subtidal,28.159,day
3,2020-02-11,Subtidal,28.456,day
3,2020-02-11,Subtidal,28.754,day
3,2020-02-11,Subtidal,29.152,day
3,2020-02-11,Subtidal,29.452,day
3,2020-02-11,Subtidal,29.152,day
3,2020-02-11,Subtidal,29.053,day
3,2020-02-11,Subtidal,29.252,day
3,2020-02-11,Subtidal,28.953,day
3,2020-02-11,Subtidal,28.754,day
3,2020-02-11,Subtidal,28.655,day
4,2020-02-11,Subtidal,28.456,night
4,2020-02-11,Subtidal,28.357,night
4,2020-02-11,Subtidal,28.357,night
4,2020-02-11,Subtidal,28.456,night
4,2020-02-11,Subtidal,28.456,night
4,2020-02-11,Subtidal,28.456,night
4,2020-02-11,Subtidal,28.456,night
4,2020-02-11,Subtidal,28.456,night
4,2020-02-11,Subtidal,28.357,night
4,2020-02-11,Subtidal,28.357,night
4,2020-02-11,Subtidal,28.258,night
5,2020-02-12,Subtidal,28.357,day
5,2020-02-12,Subtidal,28.357,day
5,2020-02-12,Subtidal,28.555,day
5,2020-02-12,Subtidal,28.853,day
5,2020-02-12,Subtidal,29.053,day
5,2020-02-12,Subtidal,29.252,day
5,2020-02-12,Subtidal,29.752,day
5,2020-02-12,Subtidal,29.352,day
5,2020-02-12,Subtidal,29.352,day
5,2020-02-12,Subtidal,29.053,day
5,2020-02-12,Subtidal,28.754,day
5,2020-02-12,Subtidal,28.555,day
5,2020-02-12,Subtidal,28.555,day
6,2020-02-12,Subtidal,28.555,night
6,2020-02-12,Subtidal,28.456,night
6,2020-02-12,Subtidal,28.555,night
6,2020-02-12,Subtidal,28.555,night
6,2020-02-12,Subtidal,28.555,night
6,2020-02-12,Subtidal,28.555,night
6,2020-02-12,Subtidal,28.555,night
