tree,origin,culture,coral,day,brightness
31,int,int,1,1,39.956
31,int,int,2,1,44.19102048
31,int,int,3,1,35.2252049
31,int,int,4,1,42.961297
31,int,int,5,1,43.05842647
31,int,int,6,1,42.76210915
31,int,int,7,1,57.00804901
31,int,int,8,1,78.65737399
31,int,int,1,3,58.74364103
31,int,int,2,3,79.0043386
31,int,int,3,3,52.79594513
31,int,int,4,3,54.79551382
31,int,int,5,3,64.24175896
31,int,int,6,3,84.24473492
31,int,int,7,3,82.03999367
31,int,int,8,3,127.9712935
31,int,int,1,5,45.90716266
31,int,int,2,5,79.75707892
31,int,int,3,5,39.11238374
31,int,int,4,5,58.11757168
31,int,int,5,5,49.81913617
31,int,int,6,5,70.26115409
31,int,int,7,5,72.50454775
31,int,int,8,5,109.6101034
31,int,int,1,7,46.1590354
31,int,int,2,7,45.63883782
31,int,int,3,7,39.56665466
31,int,int,4,7,41.58384582
31,int,int,5,7,37.41575847
31,int,int,6,7,47.97385887
31,int,int,7,7,45.90168827
31,int,int,8,7,74.16927856
31,int,int,1,9,34.4244705
31,int,int,2,9,28.87777967
31,int,int,3,9,35.67027597
31,int,int,4,9,39.21645364
31,int,int,5,9,31.90572916
31,int,int,6,9,26.23519091
31,int,int,7,9,47.55851255
31,int,int,8,9,129.546849
31,int,int,1,11,38.23986812
31,int,int,2,11,43.00863268
31,int,int,3,11,32.86470478
31,int,int,4,11,26.07389928
31,int,int,5,11,28.71568032
31,int,int,6,11,37.9839967
31,int,int,7,11,46.53005984
31,int,int,8,11,89.8686592
31,int,int,1,13,28.75212979
31,int,int,2,13,38.26572578
31,int,int,3,13,28.94291625
31,int,int,4,13,55.64627125
31,int,int,5,13,25.07721716
31,int,int,6,13,28.0915536
31,int,int,7,13,37.78153858
31,int,int,8,13,57.85426728
32,int,int,1,1,34.59218074
32,int,int,2,1,27.32385746
32,int,int,3,1,37.8290008
32,int,int,4,1,34.3171158
32,int,int,5,1,27.49803993
32,int,int,6,1,37.37789986
32,int,int,7,1,49.18374052
