tree,treatment,origin,culture,stressed,serie ,c1S0,c2S0,c3S0,c4S0,c5S0,c6S0,c7S0,c8S0,c1S1,c2S1,c3S1,c4S1,c5S1,c6S1,c7S1,c8S1,c1S3,c2S3,c3S3,c4S3,c5S3,c6S3,c7S3,c8S3,c1oct-dec,c2oct-dec,c3oct-dec,c4oct-dec,c5oct-dec,c6oct-dec,c7oct-dec,c8oct-dec,c1dec-mar,c2dec-mar,c3dec-mar,c4dec-mar,c5dec-mar,c6dec-mar,c7dec-mar,c8dec-mar,c1oct-mar,c2oct-mar,c3oct-mar,c4oct-mar,c5oct-mar,c6oct-mar,c7oct-mar,c8oct-mar,abs oct-dec,abs dec-mar,abs oct-mar
1,intsub,int,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0.9,0,0,0.9,0,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.9,0,0.9,0,0,0,0,0,0.9,0,0.9,0,0,0,NA,0.25,0.25
2,subsub,sub,sub,no,original,1,1,1,1,1,1,1,1,1,0,1,0.8,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0.8,1,1,1,0,0,NA,0,1.25,1,1,0,NA,0,1,0,1,1,1,0,1,0.75,0.83,0.63
3,intsub,int,sub,no,original,1,1,1,0,1,1,1,1,0.9,1,1,0,0,1,1,1,0,0,0,0,0,0,0.9,0,0.9,1,1,0,0,1,1,1,0,0,0,NA,NA,0,0.9,0,0,0,0,NA,0,0,0.9,0,0.86,0.17,0.14
4,subsub,sub,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1,0.5,0.8,0.6,0.6,0.7,1,1,1,1,0,1,0.9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.111111111,1,2,0,1.666666667,1.5,0,1,1.111111111,1,2,0,1.666666667,1.5,0,1,NA,0.75,0.75
5,intsub,int,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.9,0.9,0.8,0.9,1,0,0,1,0.8,0.3,0.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0.888888889,0.333333333,0.375,1,1,0,0,1,0.888888889,0.333333333,0.375,1,NA,0.75,0.75
6,subsub,sub,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0.9,0.7,1,1,1,1,1,1,0.9,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0.428571429,1,1,1,1,1,1,1,0.428571429,1,NA,1,1
7,subsub,sub,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.9,1,0.8,0.4,1,1,1,1,0.9,1,0.8,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,NA,0.88,0.88
8,intsub,int,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,1,0.1,0,0.1,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.1,0,0.1,0,0.9,0,1,1,0.1,0,0.1,0,0.9,NA,0.63,0.63
9,subsub,sub,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.8,1,1,1,1,0.8,1,1,0.8,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,NA,1,1
10,intsub,int,sub,no,replacement,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0.8,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,0,1,0,1,1,1,1,0.8,0,1,0,1,1,1,NA,0.75,0.75
