Plot Title: 20628542,,,,,,,,
#,"Date Time, GMT+03:00","Temp, °C (LGR S/N: 20628542, SEN S/N: 20628542, LBL: Temp)","Intensity, Lux (LGR S/N: 20628542, SEN S/N: 20628542, LBL: Light)",Coupler Detached (LGR S/N: 20628542),Coupler Attached (LGR S/N: 20628542),Host Connected (LGR S/N: 20628542),Stopped (LGR S/N: 20628542),End Of File (LGR S/N: 20628542)
1,02/10/2020 15:32,33.014,0,,,,,
2,02/10/2020 15:33,,,Logged,,,,
3,02/10/2020 16:32,28.655,7577.8,,,,,
4,02/10/2020 17:32,28.357,2927.8,,,,,
5,02/10/2020 18:32,28.258,387.5,,,,,
6,02/10/2020 19:32,28.159,0,,,,,
7,02/10/2020 20:32,28.258,0,,,,,
8,02/10/2020 21:32,27.961,0,,,,,
9,02/10/2020 22:32,27.862,0,,,,,
10,02/10/2020 23:32,27.764,0,,,,,
11,02/11/2020 00:32,27.567,0,,,,,
12,02/11/2020 01:32,28.06,0,,,,,
13,02/11/2020 02:32,27.961,0,,,,,
14,02/11/2020 03:32,27.961,0,,,,,
15,02/11/2020 04:32,27.961,0,,,,,
16,02/11/2020 05:32,27.961,0,,,,,
17,02/11/2020 06:32,27.862,215.3,,,,,
18,02/11/2020 07:32,27.961,4650,,,,,
19,02/11/2020 08:32,28.159,16533.4,,,,,
20,02/11/2020 09:32,28.456,15155.7,,,,,
21,02/11/2020 10:32,30.457,115734.1,,,,,
22,02/11/2020 11:32,38.157,231468.2,,,,,
23,02/11/2020 12:32,38.046,231468.2,,,,,
24,02/11/2020 13:32,32.188,63378.2,,,,,
25,02/11/2020 14:32,29.853,52355.9,,,,,
26,02/11/2020 15:32,29.452,16533.4,,,,,
27,02/11/2020 16:32,29.152,7577.8,,,,,
28,02/11/2020 17:32,28.853,2755.6,,,,,
29,02/11/2020 18:32,28.754,258.3,,,,,
30,02/11/2020 19:32,28.555,0,,,,,
31,02/11/2020 20:32,28.555,0,,,,,
32,02/11/2020 21:32,28.555,0,,,,,
33,02/11/2020 22:32,28.456,0,,,,,
34,02/11/2020 23:32,28.357,0,,,,,
35,02/12/2020 00:32,28.258,0,,,,,
36,02/12/2020 01:32,28.258,0,,,,,
37,02/12/2020 02:32,28.357,0,,,,,
38,02/12/2020 03:32,28.357,0,,,,,
39,02/12/2020 04:32,28.258,0,,,,,
40,02/12/2020 05:32,28.258,0,,,,,
41,02/12/2020 06:32,28.258,183,,,,,
42,02/12/2020 07:32,28.357,3616.7,,,,,
43,02/12/2020 08:32,28.555,10677.8,,,,,
44,02/12/2020 09:32,29.053,33066.9,,,,,
45,02/12/2020 10:32,29.352,22044.6,,,,,
46,02/12/2020 11:32,32.394,121245.2,,,,,
47,02/12/2020 12:32,36.946,242490.5,,,,,
48,02/12/2020 13:32,33.743,52355.9,,,,,
49,02/12/2020 14:32,30.862,38578,,,,,
50,02/12/2020 15:32,29.752,21355.7,,,,,
51,02/12/2020 16:32,28.853,9300.1,,,,,
52,02/12/2020 17:32,28.754,3444.5,,,,,
53,02/12/2020 18:32,28.555,236.8,,,,,
54,02/12/2020 19:32,28.655,0,,,,,
55,02/12/2020 20:32,28.555,0,,,,,
56,02/12/2020 21:32,28.754,0,,,,,
57,02/12/2020 22:32,28.555,0,,,,,
58,02/12/2020 23:32,28.456,0,,,,,
59,02/13/20 12:32:59 AM,28.357,0,,,,,
60,02/13/20 01:32:59 AM,28.258,0,,,,,
61,02/13/20 02:32:59 AM,28.456,0,,,,,
62,02/13/20 03:32:59 AM,28.456,0,,,,,
63,02/13/20 04:32:59 AM,28.655,0,,,,,
64,02/13/20 05:32:59 AM,28.655,0,,,,,
65,02/13/20 06:32:59 AM,28.655,21.5,,,,,
66,02/13/20 07:32:59 AM,28.754,2927.8,,,,,
67,02/13/20 08:32:59 AM,28.953,8611.2,,,,,
68,02/13/20 09:32:59 AM,29.053,23422.4,,,,,
69,02/13/20 10:32:59 AM,29.652,37200.2,,,,,
70,02/13/20 11:32:59 AM,30.558,55111.5,,,,,
71,02/13/20 12:32:59 PM,32.911,126756.4,,,,,
72,02/13/20 01:32:59 PM,33.326,57867,,,,,
73,02/13/20 02:32:59 PM,32.291,44089.2,,,,,
74,02/13/20 03:32:59 PM,30.457,16533.4,,,,,
75,02/13/20 04:32:59 PM,29.352,11022.3,,,,,
76,02/13/20 05:32:59 PM,29.053,3100,,,,,
77,02/13/20 06:32:59 PM,28.953,226,,,,,
78,02/13/20 07:32:59 PM,28.853,0,,,,,
79,02/13/20 08:32:59 PM,28.853,0,,,,,
80,02/13/20 09:32:59 PM,28.754,0,,,,,
81,02/13/20 10:32:59 PM,28.853,0,,,,,
82,02/13/20 11:32:59 PM,28.754,0,,,,,
83,02/14/20 12:32:59 AM,28.754,0,,,,,
84,02/14/20 01:32:59 AM,28.555,0,,,,,
85,02/14/20 02:32:59 AM,28.456,0,,,,,
86,02/14/20 03:32:59 AM,28.754,0,,,,,
87,02/14/20 04:32:59 AM,28.555,0,,,,,
88,02/14/20 05:32:59 AM,28.853,0,,,,,
89,02/14/20 06:32:59 AM,28.853,107.6,,,,,
90,02/14/20 07:32:59 AM,28.953,3100,,,,,
91,02/14/20 08:32:59 AM,29.053,8266.7,,,,,
92,02/14/20 09:32:59 AM,29.053,4305.6,,,,,
93,02/14/20 10:32:59 AM,29.552,28933.5,,,,,
94,02/14/20 11:32:59 AM,30.054,71644.9,,,,,
95,02/14/20 12:32:59 PM,30.76,49600.3,,,,,
96,02/14/20 01:32:59 PM,32.086,60622.6,,,,,
97,02/14/20 02:32:59 PM,31.88,52355.9,,,,,
98,02/14/20 03:32:59 PM,30.054,12400.1,,,,,
99,02/14/20 04:32:59 PM,29.652,2755.6,,,,,
100,02/14/20 05:32:59 PM,29.152,2755.6,,,,,
101,02/14/20 06:32:59 PM,29.053,215.3,,,,,
102,02/14/20 07:32:59 PM,29.053,0,,,,,
103,02/14/20 08:32:59 PM,29.053,0,,,,,
104,02/14/20 09:32:59 PM,29.053,0,,,,,
105,02/14/20 10:32:59 PM,29.053,0,,,,,
106,02/14/20 11:32:59 PM,28.953,0,,,,,
107,02/15/20 12:32:59 AM,28.953,0,,,,,
108,02/15/20 01:32:59 AM,28.853,0,,,,,
109,02/15/20 02:32:59 AM,28.655,0,,,,,
110,02/15/20 03:32:59 AM,28.754,0,,,,,
111,02/15/20 04:32:59 AM,28.953,0,,,,,
112,02/15/20 05:32:59 AM,28.953,0,,,,,
113,02/15/20 06:32:59 AM,28.754,64.6,,,,,
